mass_1,mass_2,chi_1,chi_2,luminosity_distance,dec,ra,theta_jn,psi,phase,geocent_time,log_likelihood,log_prior,log_likelihood_eob
36.77129541345694,31.83856495959676,0.03005913014157284,-0.6110179393763366,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,31.20147830194415,-7.8601850574721635,-36304.688644374546
58.85556665712693,30.65556971053001,0.6671654243581614,-0.438346634981111,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,31.31959052356224,-7.8601850574721635,-36163.384560995895
39.98363028713911,33.95540049327275,0.1584990875753759,-0.16770457272046527,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,31.62545105144134,-7.8601850574721635,-36710.6852753247
45.39489124999477,32.28123143883805,-0.4916290450837717,0.5843845352049597,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,31.822643230060706,-7.8601850574721635,-36746.81246398856
49.64547351388468,33.36101133251296,-0.07140055230030068,0.5183904122033289,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,32.828707610597505,-7.8601850574721635,-36931.06518293504
38.476149773241644,31.919845510657083,0.25640557898947847,-0.7583717450310206,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,33.148047133533744,-7.8601850574721635,-36372.97922629611
40.85394150465081,40.7600405893979,0.758975526219526,-0.4454498760824339,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,33.23057680337669,-7.8601850574721635,-37092.37925912824
35.002447999614745,31.601695033926184,-0.6874550528175443,-0.08617535384358319,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,33.28256469427244,-7.8601850574721635,-36318.53360845205
57.506960290545564,31.170928088057973,0.447182262574938,0.006356580302400938,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,33.52233552253108,-7.8601850574721635,-36919.030193887695
39.66668514469669,30.534282561529118,-0.2621258717212905,-0.14557874734808812,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,33.58152320960393,-7.8601850574721635,-36490.10071858014
44.571062709016836,36.69618697908794,0.4946810066830161,-0.3436523748833633,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,33.60121148045904,-7.8601850574721635,-37110.373846480485
45.240666542289496,33.8487795332126,0.45250062430116655,-0.6239391986547944,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,33.62087406029829,-7.8601850574721635,-36837.41757380146
44.463680725123865,38.49954891791902,-0.04901288959144394,0.454057477195913,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,33.81973433216071,-7.8601850574721635,-36972.0058746954
39.1728756261635,33.44506123642743,-0.4798119687355484,0.4457200329802723,400.0,-1.2108,1.375,0.4,2.659,1.3,1126259642.413,33.89136598978097,-7.8601850574721635,-36683.493758437406
